0,9,6
8,1,6
16,11,6
24,10,6
32,1,6
40,6,6
48,5,6
56,7,6
64,3,6
72,3,6
80,10,6
88,5,6
96,4,6
104,11,6
112,1,6
120,2,6
128,9,6
136,3,6
144,12,6
152,9,6
160,5,6
168,8,6
176,9,6
184,6,6
192,11,6
200,4,6
208,4,6
216,2,6
224,1,6
232,12,6
240,5,6
248,2,6
256,6,6
264,6,6
272,2,6
280,2,6
288,4,6
296,12,6
304,12,6
312,10,6
320,4,6
328,10,6
336,8,6
344,6,6
352,3,6
360,5,6
368,9,6
376,10,6
384,7,6
392,2,6
400,7,6
408,4,6
416,7,6
424,1,6
432,4,6
440,3,6
448,6,6
456,8,6
464,4,6
472,1,6
480,7,6
488,11,6
496,2,6
504,12,6
512,7,6
520,6,6
528,12,6
536,1,6
544,3,6
552,8,6
560,12,6
568,11,6
576,3,6
584,7,6
592,10,6
600,12,6
608,8,6
616,8,6
624,5,6
632,1,6
640,5,6
648,11,6
656,7,6
664,5,6
672,3,6
680,11,6
688,9,6
696,2,6
704,11,6
712,8,6
720,10,6
728,6,6
736,10,6
744,9,6
752,9,6
760,8,6
