0,6,6
8,4,6
16,7,6
24,12,6
32,9,6
40,8,6
48,12,6
56,5,6
64,8,6
72,1,6
80,1,6
88,9,6
96,11,6
104,6,6
112,3,6
120,1,6
128,4,6
136,8,6
144,2,6
152,8,6
160,5,6
168,9,6
176,2,6
184,7,6
192,6,6
200,12,6
208,2,6
216,6,6
224,11,6
232,10,6
240,8,6
248,3,6
256,7,6
264,3,6
272,8,6
280,11,6
288,8,6
296,6,6
304,5,6
312,6,6
320,7,6
328,10,6
336,9,6
344,6,6
352,6,6
360,10,6
368,4,6
376,9,6
384,9,6
392,5,6
400,1,6
408,5,6
416,2,6
424,4,6
432,2,6
440,9,6
448,3,6
456,10,6
464,2,6
472,3,6
480,3,6
488,9,6
496,12,6
504,7,6
512,11,6
520,11,6
528,4,6
536,10,6
544,1,6
552,12,6
560,4,6
568,1,6
576,8,6
584,7,6
592,4,6
600,4,6
608,3,6
616,2,6
624,10,6
632,12,6
640,11,6
648,3,6
656,5,6
664,10,6
672,5,6
680,12,6
688,12,6
696,10,6
704,11,6
712,1,6
720,11,6
728,2,6
736,5,6
744,7,6
752,7,6
760,1,6
