0,4,6
8,4,6
16,6,6
24,6,6
32,12,6
40,10,6
48,12,6
56,8,6
64,12,6
72,4,6
80,3,6
88,11,6
96,11,6
104,8,6
112,1,6
120,6,6
128,7,6
136,5,6
144,4,6
152,7,6
160,7,6
168,4,6
176,11,6
184,7,6
192,2,6
200,1,6
208,3,6
216,8,6
224,10,6
232,9,6
240,10,6
248,1,6
256,8,6
264,11,6
272,1,6
280,4,6
288,2,6
296,5,6
304,12,6
312,11,6
320,10,6
328,10,6
336,5,6
344,11,6
352,2,6
360,9,6
368,3,6
376,2,6
384,6,6
392,1,6
400,1,6
408,5,6
416,1,6
424,7,6
432,10,6
440,4,6
448,1,6
456,12,6
464,5,6
472,10,6
480,3,6
488,5,6
496,3,6
504,10,6
512,11,6
520,3,6
528,7,6
536,8,6
544,5,6
552,9,6
560,6,6
568,2,6
576,3,6
584,4,6
592,9,6
600,12,6
608,2,6
616,11,6
624,9,6
632,9,6
640,2,6
648,2,6
656,12,6
664,9,6
672,8,6
680,7,6
688,6,6
696,9,6
704,7,6
712,12,6
720,6,6
728,8,6
736,3,6
744,6,6
752,5,6
760,8,6
