0,1,6
8,3,6
16,9,6
24,12,6
32,8,6
40,3,6
48,5,6
56,4,6
64,12,6
72,12,6
80,1,6
88,1,6
96,5,6
104,3,6
112,12,6
120,5,6
128,7,6
136,6,6
144,5,6
152,1,6
160,7,6
168,11,6
176,1,6
184,2,6
192,2,6
200,10,6
208,9,6
216,11,6
224,3,6
232,1,6
240,6,6
248,9,6
256,3,6
264,7,6
272,10,6
280,7,6
288,2,6
296,1,6
304,10,6
312,5,6
320,9,6
328,7,6
336,5,6
344,5,6
352,2,6
360,4,6
368,5,6
376,10,6
384,6,6
392,12,6
400,6,6
408,7,6
416,7,6
424,8,6
432,12,6
440,3,6
448,4,6
456,7,6
464,1,6
472,4,6
480,10,6
488,11,6
496,2,6
504,8,6
512,6,6
520,3,6
528,8,6
536,9,6
544,6,6
552,8,6
560,8,6
568,10,6
576,8,6
584,11,6
592,6,6
600,6,6
608,10,6
616,4,6
624,11,6
632,11,6
640,12,6
648,2,6
656,12,6
664,11,6
672,10,6
680,2,6
688,3,6
696,11,6
704,4,6
712,4,6
720,2,6
728,9,6
736,9,6
744,4,6
752,9,6
760,8,6
